Designator,Mid X,Mid Y,Rotation,Layer
C1,215.9,-125.857,270.0,bottom
C10,310.515,-150.368,0.0,bottom
C11,310.515,-148.082,0.0,bottom
C12,241.5032,-135.7884,0.0,bottom
C13,242.316,-133.858,0.0,bottom
C14,242.316,-130.556,0.0,bottom
C15,242.316,-128.524,0.0,bottom
C16,260.8834,-115.6462,0.0,bottom
C17,261.62,-113.538,0.0,bottom
C18,261.62,-111.76,0.0,bottom
C19,261.62,-109.22,0.0,bottom
C20,251.841,-154.6606,0.0,bottom
C21,233.68,-172.72,0.0,bottom
C22,233.68,-169.672,0.0,bottom
C23,233.68,-167.386,0.0,bottom
C24,227.33,-109.728,180.0,bottom
C25,227.33,-111.506,180.0,bottom
C26,248.7345,-116.769,0.0,bottom
C27,230.886,-115.062,180.0,bottom
C28,226.6696,-113.3094,180.0,bottom
C29,220.7006,-145.6944,180.0,bottom
C30,220.726,-147.2184,180.0,bottom
C31,243.7425,-156.82,180.0,bottom
C32,211.582,-157.226,90.0,bottom
C33,209.042,-157.226,270.0,bottom
C34,233.7562,-174.625,0.0,bottom
C35,252.222,-151.892,0.0,bottom
C36,252.222,-150.368,0.0,bottom
C37,252.222,-148.082,0.0,bottom
C38,309.753,-135.9916,0.0,bottom
C39,310.515,-134.082,0.0,bottom
C4,309.1942,-117.2464,0.0,bottom
C40,310.515,-130.937,0.0,bottom
C41,310.515,-128.778,0.0,bottom
C42,309.5498,-174.3964,0.0,bottom
C43,310.134,-172.466,0.0,bottom
C44,310.134,-169.418,0.0,bottom
C45,310.134,-167.386,0.0,bottom
C5,309.88,-115.316,0.0,bottom
C6,309.88,-112.268,0.0,bottom
C7,309.88,-110.236,0.0,bottom
C8,309.6768,-155.448,0.0,bottom
C9,310.515,-153.483,0.0,bottom
J10,306.197,-146.304,0.0,bottom
J11,238.76,-123.19,0.0,bottom
J12,249.682,-105.918,90.0,bottom
J13,228.346,-168.016,0.0,bottom
J14,244.348,-144.272,90.0,bottom
J15,304.8,-128.9,0.0,bottom
J16,305.135,-168.981,0.0,bottom
J17,235.9914,-131.6736,0.0,bottom
J18,214.884,-113.279,0.0,bottom
J19,208.026,-143.505,0.0,bottom
J2,211.074,-104.394,0.0,bottom
J20,232.8672,-131.6736,0.0,bottom
J4,218.186,-106.68,270.0,bottom
J6,207.777,-153.924,270.0,bottom
J7,214.63,-118.872,0.0,bottom
J8,208.026,-149.098,0.0,bottom
J9,304.8,-109.723,0.0,bottom
R1,213.36,-129.159,180.0,bottom
R10,243.085,-126.238,270.0,bottom
R11,260.7485,-106.807,270.0,bottom
R12,262.5265,-106.807,270.0,bottom
R13,232.918,-164.846,270.0,bottom
R14,234.442,-164.846,270.0,bottom
R15,229.87,-113.538,180.0,bottom
R16,223.52,-148.844,0.0,bottom
R17,251.46,-145.796,270.0,bottom
R18,253.044,-145.809,270.0,bottom
R19,309.76,-126.492,270.0,bottom
R2,226.3085,-128.397,0.0,bottom
R20,311.277,-126.492,270.0,bottom
R21,309.372,-165.1,270.0,bottom
R22,310.896,-165.1,270.0,bottom
R3,226.4355,-130.429,0.0,bottom
R4,226.4355,-132.334,0.0,bottom
R5,309.118,-107.696,270.0,bottom
R6,310.642,-107.696,270.0,bottom
R7,309.753,-145.796,270.0,bottom
R8,311.397,-145.796,270.0,bottom
R9,241.554,-126.238,270.0,bottom
U1,220.7605,-131.064,0.0,bottom
U10,214.63,-148.336,0.0,bottom
U11,260.604,-151.003,270.0,bottom
U12,318.77,-131.826,270.0,bottom
U13,318.77,-170.688,270.0,bottom
U2,318.77,-113.157,270.0,bottom
U3,318.77,-151.638,270.0,bottom
U4,250.8425,-131.445,270.0,bottom
U5,271.018,-112.014,270.0,bottom
U6,242.212,-170.688,270.0,bottom
U7,248.7345,-112.197,180.0,bottom
U8,220.472,-113.792,0.0,bottom
U9,242.57,-151.638,180.0,bottom
